model params: 2,236,682
device: cuda, train batches/epoch: 391
epoch  98/180 | train_loss 0.8251 acc 0.8589 | test_loss 0.8856 acc 0.8310 | lr 0.04507 | 15.9s
epoch  99/180 | train_loss 0.8240 acc 0.8594 | test_loss 0.8281 acc 0.8566 | lr 0.04418 | 15.9s
epoch 100/180 | train_loss 0.8197 acc 0.8607 | test_loss 0.8515 acc 0.8445 | lr 0.04329 | 15.9s
epoch 101/180 | train_loss 0.8150 acc 0.8633 | test_loss 0.8690 acc 0.8367 | lr 0.04240 | 15.9s
epoch 102/180 | train_loss 0.8127 acc 0.8655 | test_loss 0.8997 acc 0.8281 | lr 0.04151 | 15.9s
epoch 103/180 | train_loss 0.8075 acc 0.8670 | test_loss 0.9004 acc 0.8269 | lr 0.04063 | 15.9s
epoch 104/180 | train_loss 0.8097 acc 0.8667 | test_loss 0.8440 acc 0.8486 | lr 0.03975 | 15.9s
epoch 105/180 | train_loss 0.8057 acc 0.8675 | test_loss 0.8694 acc 0.8417 | lr 0.03887 | 15.9s
epoch 106/180 | train_loss 0.8044 acc 0.8677 | test_loss 0.9024 acc 0.8254 | lr 0.03800 | 15.9s
epoch 107/180 | train_loss 0.7989 acc 0.8697 | test_loss 0.8378 acc 0.8535 | lr 0.03713 | 16.0s
epoch 108/180 | train_loss 0.7961 acc 0.8726 | test_loss 0.9110 acc 0.8213 | lr 0.03627 | 15.9s
epoch 109/180 | train_loss 0.7951 acc 0.8716 | test_loss 0.8387 acc 0.8523 | lr 0.03541 | 16.0s
epoch 110/180 | train_loss 0.7936 acc 0.8727 | test_loss 0.8281 acc 0.8570 | lr 0.03455 | 15.9s
epoch 111/180 | train_loss 0.7884 acc 0.8754 | test_loss 0.8173 acc 0.8610 | lr 0.03370 | 16.0s
epoch 112/180 | train_loss 0.7840 acc 0.8764 | test_loss 0.8365 acc 0.8509 | lr 0.03285 | 16.0s
epoch 113/180 | train_loss 0.7824 acc 0.8786 | test_loss 0.8475 acc 0.8504 | lr 0.03201 | 16.0s
epoch 114/180 | train_loss 0.7780 acc 0.8798 | test_loss 0.8198 acc 0.8625 | lr 0.03118 | 16.0s
epoch 115/180 | train_loss 0.7738 acc 0.8825 | test_loss 0.8439 acc 0.8518 | lr 0.03035 | 16.0s
epoch 116/180 | train_loss 0.7699 acc 0.8825 | test_loss 0.8042 acc 0.8682 | lr 0.02953 | 16.0s
epoch 117/180 | train_loss 0.7671 acc 0.8847 | test_loss 0.8143 acc 0.8622 | lr 0.02871 | 16.0s
epoch 118/180 | train_loss 0.7630 acc 0.8869 | test_loss 0.8431 acc 0.8504 | lr 0.02790 | 16.0s
epoch 119/180 | train_loss 0.7633 acc 0.8851 | test_loss 0.8104 acc 0.8651 | lr 0.02710 | 16.0s
epoch 120/180 | train_loss 0.7588 acc 0.8888 | test_loss 0.8096 acc 0.8646 | lr 0.02631 | 16.0s
epoch 121/180 | train_loss 0.7530 acc 0.8898 | test_loss 0.7884 acc 0.8764 | lr 0.02552 | 16.0s
epoch 122/180 | train_loss 0.7514 acc 0.8912 | test_loss 0.7979 acc 0.8676 | lr 0.02474 | 16.0s
epoch 123/180 | train_loss 0.7467 acc 0.8931 | test_loss 0.7671 acc 0.8830 | lr 0.02397 | 15.9s
epoch 124/180 | train_loss 0.7421 acc 0.8965 | test_loss 0.7845 acc 0.8794 | lr 0.02321 | 16.0s
epoch 125/180 | train_loss 0.7387 acc 0.8968 | test_loss 0.7809 acc 0.8793 | lr 0.02246 | 16.0s
epoch 126/180 | train_loss 0.7371 acc 0.8984 | test_loss 0.8263 acc 0.8593 | lr 0.02171 | 16.0s
epoch 127/180 | train_loss 0.7347 acc 0.8982 | test_loss 0.8215 acc 0.8598 | lr 0.02098 | 16.0s
epoch 128/180 | train_loss 0.7281 acc 0.9013 | test_loss 0.7795 acc 0.8812 | lr 0.02025 | 16.0s
epoch 129/180 | train_loss 0.7215 acc 0.9044 | test_loss 0.7719 acc 0.8825 | lr 0.01953 | 15.9s
epoch 130/180 | train_loss 0.7219 acc 0.9028 | test_loss 0.7714 acc 0.8826 | lr 0.01883 | 15.9s
epoch 131/180 | train_loss 0.7174 acc 0.9057 | test_loss 0.7638 acc 0.8873 | lr 0.01813 | 16.0s
epoch 132/180 | train_loss 0.7109 acc 0.9095 | test_loss 0.7597 acc 0.8890 | lr 0.01744 | 15.9s
epoch 133/180 | train_loss 0.7105 acc 0.9088 | test_loss 0.7528 acc 0.8910 | lr 0.01677 | 16.0s
epoch 134/180 | train_loss 0.7047 acc 0.9123 | test_loss 0.7930 acc 0.8753 | lr 0.01610 | 16.0s
epoch 135/180 | train_loss 0.7016 acc 0.9128 | test_loss 0.7698 acc 0.8838 | lr 0.01545 | 15.9s
epoch 136/180 | train_loss 0.6936 acc 0.9165 | test_loss 0.7549 acc 0.8893 | lr 0.01480 | 16.0s
epoch 137/180 | train_loss 0.6934 acc 0.9167 | test_loss 0.7402 acc 0.8968 | lr 0.01417 | 15.9s
epoch 138/180 | train_loss 0.6881 acc 0.9188 | test_loss 0.7329 acc 0.8999 | lr 0.01355 | 15.9s
epoch 139/180 | train_loss 0.6820 acc 0.9225 | test_loss 0.7529 acc 0.8896 | lr 0.01294 | 15.9s
epoch 140/180 | train_loss 0.6785 acc 0.9228 | test_loss 0.7351 acc 0.8975 | lr 0.01235 | 15.9s
epoch 141/180 | train_loss 0.6735 acc 0.9264 | test_loss 0.7426 acc 0.8935 | lr 0.01176 | 16.0s
epoch 142/180 | train_loss 0.6699 acc 0.9275 | test_loss 0.7473 acc 0.8951 | lr 0.01119 | 15.9s
epoch 143/180 | train_loss 0.6643 acc 0.9297 | test_loss 0.7222 acc 0.9050 | lr 0.01063 | 15.9s
epoch 144/180 | train_loss 0.6592 acc 0.9313 | test_loss 0.7236 acc 0.9062 | lr 0.01008 | 16.0s
epoch 145/180 | train_loss 0.6537 acc 0.9339 | test_loss 0.7278 acc 0.9029 | lr 0.00955 | 15.9s
epoch 146/180 | train_loss 0.6505 acc 0.9359 | test_loss 0.7264 acc 0.9027 | lr 0.00903 | 15.9s
epoch 147/180 | train_loss 0.6449 acc 0.9383 | test_loss 0.7263 acc 0.9042 | lr 0.00852 | 15.9s
epoch 148/180 | train_loss 0.6393 acc 0.9415 | test_loss 0.7144 acc 0.9089 | lr 0.00803 | 16.0s
epoch 149/180 | train_loss 0.6375 acc 0.9418 | test_loss 0.7056 acc 0.9132 | lr 0.00754 | 15.9s
epoch 150/180 | train_loss 0.6328 acc 0.9433 | test_loss 0.7315 acc 0.9029 | lr 0.00708 | 15.9s
epoch 151/180 | train_loss 0.6254 acc 0.9477 | test_loss 0.7087 acc 0.9118 | lr 0.00662 | 15.9s
epoch 152/180 | train_loss 0.6199 acc 0.9499 | test_loss 0.7060 acc 0.9168 | lr 0.00618 | 15.9s
epoch 153/180 | train_loss 0.6176 acc 0.9510 | test_loss 0.6968 acc 0.9165 | lr 0.00576 | 16.0s
